10 533 1391 1421 1826 915 1540 541 1461 1717 283
10 1782 1846 746 1459 86 333 1190 1785 325 1840
10 133 1108 1200 755 352 700 769 714 366 486
10 116 119 123 115 749 483 124 129 741 430
10 1577 440 626 855 125 804 1101 625 787 1457
10 101 912 813 111 1120 1049 106 303 112 577
10 1062 521 1596 971 1416 1164 567 1064 1063 614
10 259 1430 427 1229 1615 1422 782 1397 1183 1545
10 664 1448 1385 786 731 561 667 141 1458 1077
10 1456 1237 730 1681 412 1069 1171 1079 423 1136
10 208 940 1188 556 128 475 764 415 417 187
10 411 453 81 693 162 318 337 492 978 475
10 1270 648 1129 76 1442 996 586 1426 1555 1193
10 747 431 957 467 339 682 1012 161 710 1036
10 672 428 1521 1059 1356 632 72 1235 1526 1015
10 643 1539 1846 941 1808 1748 137 1868 1437 1843
10 1214 869 436 1118 1563 437 195 822 194 1656
10 450 448 961 637 618 79 947 557 464 699
10 715 910 421 993 572 1250 493 691 649 867
10 1400 1336 1664 1433 1684 956 1663 1424 1323 1666
10 828 408 376 280 166 198 180 202 883 837
10 295 897 666 871 180 266 898 528 400 883
10 560 1058 1006 476 394 182 64 238 1116 584
10 1620 1341 1076 1355 1692 1228 1580 1306 1654 1208
10 1279 1883 1806 1013 1383 1801 73 31 1328 1481
10 864 1562 727 373 1074 738 890 306 321 138
10 624 1550 685 1184 1296 1180 1531 854 1765 765
10 1381 983 987 990 84 903 1144 342 555 531
10 204 662 1089 1105 232 543 195 749 54 959
10 581 968 564 335 197 178 350 1070 434 999
10 37 1005 357 707 260 262 706 633 1321 300
10 1542 1686 1660 647 98 1639 1662 1586 589 1856
10 454 1155 1322 1271 1212 858 1395 743 1494 1314
10 1887 1187 1874 1678 1519 1450 1685 1829 1820 1389
10 30 94 383 1277 1267 382 424 1502 935 1767
10 997 438 1132 422 1198 447 151 1282 1209 1638
10 188 946 1499 385 519 1245 1236 1413 1377 1466
10 556 938 761 20 1083 1449 320 441 1223 937
10 1513 1812 1851 1719 446 1703 932 1708 1579 1578
10 830 844 836 826 835 838 843 825 750 827
10 136 1283 80 1152 209 413 1195 1172 438 1125
10 1365 249 247 312 1221 1255 241 1035 442 949
10 655 343 240 1414 1156 783 1478 1339 1293 650
10 1741 381 176 511 1220 406 354 644 516 1093
10 73 375 84 52 558 721 89 545 372 1334
10 562 402 169 1864 287 1506 332 505 55 99
10 1484 1912 1474 1704 1809 1884 1877 1747 1567 1902
10 319 477 15 723 951 1342 504 277 1394 288
10 1161 479 532 904 548 1081 696 1215 370 8
10 290 969 1909 820 639 1736 515 1226 1206 1475
